variable,units,mean,CV,type,min.age,max.age,gender,pucid
use.prev,[-],0.05,1,point,13,99,W,HM.1200.010
f.contact,[-],0.01,0,Point,0,99,B,HM.1200.010
house.prev,[-],0.05,1,point,0,99,B,HM.1200.010
f.residual,[-],0.01,0,point,0,99,B,HM.1300.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,HM.1300.010
volume,m^3,24,0,Point,0,99,B,HM.1300.010
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1300.010
mass,g,30,1,Lognormal,0,99,B,HM.1300.010
use.freq,1/year,10.5,1,lognormal,0,99,B,HM.1300.010
duration,minutes,9,1,Lognormal,0,99,B,HM.1300.010
use.prev,[-],0,1,point,0,12,B,HM.1300.010
use.prev,[-],0.27,1,point,13,99,M,HM.1300.010
use.prev,[-],0.27,1,point,13,99,W,HM.1300.010
f.contact,[-],0.01,0,Point,0,99,B,HM.1300.010
house.prev,[-],0.27,1,point,0,99,B,HM.1300.010
f.contact,[-],0.017,0,Point,0,99,B,HM.1300.010
f.residual,[-],0.01,0,point,0,99,B,HM.2100.020
volume,m^3,480,0,Point,0,99,B,HM.2100.020
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.2100.020
mass,g,15000,1,Lognormal,0,99,B,HM.2100.020
use.freq,1/year,0.5,1,lognormal,0,99,B,HM.2100.020
duration,minutes,360,1,Lognormal,0,99,B,HM.2100.020
use.prev,[-],0,1,point,0,12,B,HM.2100.020
use.prev,[-],0.1,1,point,13,99,M,HM.2100.020
use.prev,[-],0.1,1,point,13,99,W,HM.2100.020
f.contact,[-],3.3e-05,0,Point,0,99,B,HM.2100.020
house.prev,[-],0.1,1,point,0,99,B,HM.2100.020
f.residual,[-],0.01,0,point,0,99,B,HM.0100.020
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,HM.0100.020
volume,m^3,24,0,Point,0,99,B,HM.0100.020
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.0100.020
mass,g,255,1,Lognormal,0,99,B,HM.0100.020
use.freq,1/year,12,1,lognormal,0,99,B,HM.0100.020
duration,minutes,20,1,Lognormal,0,99,B,HM.0100.020
use.prev,[-],0,1,point,0,12,B,HM.0100.020
use.prev,[-],0.61,1,point,13,99,M,HM.0100.020
use.prev,[-],0.61,1,point,13,99,W,HM.0100.020
f.contact,[-],0.01,0,Point,0,99,B,HM.0100.020
house.prev,[-],0.61,1,point,0,99,B,HM.0100.020
mass,g,17,1,Lognormal,0,99,B,HM.0100.020
use.freq,1/year,35,1,lognormal,0,99,B,HM.0100.020
use.prev,[-],0.61,1,point,0,12,B,HM.0100.020
f.contact,[-],0.029,0,Point,0,99,B,HM.0100.020
f.residual,[-],0.01,0,point,0,99,B,HM.1400.010
volume,m^3,480,0,Point,0,99,B,HM.1400.010
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1400.010
mass,g,2700,1,Lognormal,0,99,B,HM.1400.010
use.freq,1/year,1,1,lognormal,0,99,B,HM.1400.010
duration,minutes,300,1,Lognormal,0,99,B,HM.1400.010
use.prev,[-],0.02,1,point,0,12,B,HM.1400.010
use.prev,[-],0.43,1,point,13,99,M,HM.1400.010
use.prev,[-],0.43,1,point,13,99,W,HM.1400.010
f.contact,[-],0.0033,0,Point,0,99,B,HM.1400.010
house.prev,[-],0.43,1,point,0,99,B,HM.1400.010
volume,m^3,24,0,Point,0,99,B,HM.1400.010
mass,g,1300,1,Lognormal,0,99,B,HM.1400.010
use.freq,1/year,5,1,lognormal,0,99,B,HM.1400.010
duration,minutes,120,1,Lognormal,0,99,B,HM.1400.010
f.contact,[-],0.0028,0,Point,0,99,B,HM.1400.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,HM.1400.010
mass,g,300,1,Lognormal,0,99,B,HM.1400.010
duration,minutes,30,1,Lognormal,0,99,B,HM.1400.010
use.prev,[-],0.05,1,point,0,12,B,HM.1400.010
use.prev,[-],0.4,1,point,13,99,M,HM.1400.010
use.prev,[-],0.4,1,point,13,99,W,HM.1400.010
f.contact,[-],0.01,0,Point,0,99,B,HM.1400.010
house.prev,[-],0.4,1,point,0,99,B,HM.1400.010
mass,g,2000,1,Lognormal,0,99,B,HM.1400.010
use.freq,1/year,3,1,lognormal,0,99,B,HM.1400.010
duration,minutes,210,1,Lognormal,0,99,B,HM.1400.010
f.contact,[-],0.0032,0,Point,0,99,B,HM.1400.010
f.residual,[-],0.01,0,point,0,99,B,HM.1400.020
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,HM.1400.020
volume,m^3,24,0,Point,0,99,B,HM.1400.020
f.drain,[-],1,0,Uniform,0,99,B,HM.1400.020
mass,g,50,1,Lognormal,0,99,B,HM.1400.020
use.freq,1/year,4,1,lognormal,0,99,B,HM.1400.020
duration,minutes,10,1,Lognormal,0,99,B,HM.1400.020
use.prev,[-],0,1,point,0,12,B,HM.1400.020
use.prev,[-],0.05,1,point,13,99,M,HM.1400.020
use.prev,[-],0.05,1,point,13,99,W,HM.1400.020
f.contact,[-],0.01,0,Point,0,99,B,HM.1400.020
house.prev,[-],0.05,1,point,0,99,B,HM.1400.020
f.residual,[-],0.01,0,point,0,99,B,HM.1400.030
volume,m^3,24,0,Point,0,99,B,HM.1400.030
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1400.030
mass,g,1000,1,Lognormal,0,99,B,HM.1400.030
use.freq,1/year,1,1,lognormal,0,99,B,HM.1400.030
duration,minutes,120,1,Lognormal,0,99,B,HM.1400.030
use.prev,[-],0,1,point,0,12,B,HM.1400.030
use.prev,[-],0.01,1,point,13,99,M,HM.1400.030
use.prev,[-],0.01,1,point,13,99,W,HM.1400.030
f.contact,[-],0.0036,0,Point,0,99,B,HM.1400.030
house.prev,[-],0.01,1,point,0,99,B,HM.1400.030
f.residual,[-],0.01,0,point,0,99,B,HM.1400.040
volume,m^3,24,0,Point,0,99,B,HM.1400.040
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1400.040
mass,g,30,1,Lognormal,0,99,B,HM.1400.040
use.freq,1/year,7,1,lognormal,0,99,B,HM.1400.040
duration,minutes,40,1,Lognormal,0,99,B,HM.1400.040
use.prev,[-],0,1,point,0,12,B,HM.1400.040
use.prev,[-],0.36,1,point,13,99,M,HM.1400.040
use.prev,[-],0.36,1,point,13,99,W,HM.1400.040
f.contact,[-],0.017,0,Point,0,99,B,HM.1400.040
house.prev,[-],0.36,1,point,0,99,B,HM.1400.040
f.residual,[-],0.01,0,point,0,99,B,HM.1500.010
volume,m^3,24,0,Point,0,99,B,HM.1500.010
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1500.010
mass,g,200,1,Lognormal,0,99,B,HM.1500.010
use.freq,1/year,0.2,1,lognormal,0,99,B,HM.1500.010
duration,minutes,120,1,Lognormal,0,99,B,HM.1500.010
use.prev,[-],0,1,point,0,12,B,HM.1500.010
use.prev,[-],0.01,1,point,13,99,M,HM.1500.010
use.prev,[-],0.01,1,point,13,99,W,HM.1500.010
f.contact,[-],0.0025,0,Point,0,99,B,HM.1500.010
house.prev,[-],0.01,1,point,0,99,B,HM.1500.010
f.residual,[-],0.01,0,point,0,99,B,HM.1600.010
volume,m^3,24,0,Point,0,99,B,HM.1600.010
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1600.010
mass,g,50,1,Lognormal,0,99,B,HM.1600.010
use.freq,1/year,2,1,lognormal,0,99,B,HM.1600.010
duration,minutes,60,1,Lognormal,0,99,B,HM.1600.010
use.prev,[-],0,1,point,0,12,B,HM.1600.010
use.prev,[-],0.01,1,point,13,99,M,HM.1600.010
use.prev,[-],0.01,1,point,13,99,W,HM.1600.010
f.contact,[-],0.01,0,Point,0,99,B,HM.1600.010
house.prev,[-],0.01,1,point,0,99,B,HM.1600.010
f.residual,[-],0.01,0,point,0,99,B,HM.1400.050
volume,m^3,480,0,Point,0,99,B,HM.1400.050
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1400.050
mass,g,600,1,Lognormal,0,99,B,HM.1400.050
use.freq,1/year,3.5,1,lognormal,0,99,B,HM.1400.050
duration,minutes,90,1,Lognormal,0,99,B,HM.1400.050
use.prev,[-],0,1,point,0,12,B,HM.1400.050
use.prev,[-],0.14,1,point,13,99,M,HM.1400.050
use.prev,[-],0.14,1,point,13,99,W,HM.1400.050
f.contact,[-],0.0045,0,Point,0,99,B,HM.1400.050
house.prev,[-],0.14,1,point,0,99,B,HM.1400.050
volume,m^3,24,0,Point,0,99,B,HM.1400.050
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,HM.1400.050
f.contact,[-],0.01,0,Point,0,99,B,HM.1400.050
f.contact,[-],0.00083,0,Point,0,99,B,HM.1400.050
f.residual,[-],0.01,0,point,0,99,B,HM.1500.020
volume,m^3,24,0,Point,0,99,B,HM.1500.020
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1500.020
mass,g,150,1,Lognormal,0,99,B,HM.1500.020
use.freq,1/year,2,1,lognormal,0,99,B,HM.1500.020
duration,minutes,20,1,Lognormal,0,99,B,HM.1500.020
use.prev,[-],0,1,point,0,12,B,HM.1500.020
use.prev,[-],0.4,1,point,13,99,M,HM.1500.020
use.prev,[-],0.4,1,point,13,99,W,HM.1500.020
f.contact,[-],0.0033,0,Point,0,99,B,HM.1500.020
house.prev,[-],0.4,1,point,0,99,B,HM.1500.020
f.residual,[-],0.1,0,point,0,99,B,HM.1700.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,HM.1700.010
volume,m^3,24,0,Point,0,99,B,HM.1700.010
mass,g,15,1,Lognormal,0,99,B,HM.1700.010
use.freq,1/year,1,1,lognormal,0,99,B,HM.1700.010
duration,minutes,10,1,Lognormal,0,99,B,HM.1700.010
use.prev,[-],0,1,point,0,12,B,HM.1700.010
use.prev,[-],0.01,1,point,13,99,M,HM.1700.010
use.prev,[-],0.01,1,point,13,99,W,HM.1700.010
f.contact,[-],0.033,0,Point,0,99,B,HM.1700.010
house.prev,[-],0.01,1,point,0,99,B,HM.1700.010
f.residual,[-],0.01,0,point,0,99,B,HM.1800.010
volume,m^3,480,0,Point,0,99,B,HM.1800.010
mass,g,5000,1,Lognormal,0,99,B,HM.1800.010
use.freq,1/year,0.3,1,lognormal,0,99,B,HM.1800.010
duration,minutes,480,1,Lognormal,0,99,B,HM.1800.010
use.prev,[-],0,1,point,0,12,B,HM.1800.010
use.prev,[-],0.01,1,point,13,99,M,HM.1800.010
use.prev,[-],0.01,1,point,13,99,W,HM.1800.010
f.contact,[-],1e-04,0,Point,0,99,B,HM.1800.010
house.prev,[-],0.01,1,point,0,99,B,HM.1800.010
f.residual,[-],0.01,0,point,0,99,B,HM.1900.010
volume,m^3,480,0,Point,0,99,B,HM.1900.010
mass,g,500,1,Lognormal,0,99,B,HM.1900.010
use.freq,1/year,4,1,lognormal,0,99,B,HM.1900.010
duration,minutes,20,1,Lognormal,0,99,B,HM.1900.010
use.prev,[-],0,1,point,0,12,B,HM.1900.010
use.prev,[-],0.02,1,point,13,99,M,HM.1900.010
use.prev,[-],0.02,1,point,13,99,W,HM.1900.010
f.contact,[-],0.001,0,Point,0,99,B,HM.1900.010
house.prev,[-],0.02,1,point,0,99,B,HM.1900.010
f.residual,[-],0.01,0,point,0,99,B,HM.1000.010
volume,m^3,24,0,Point,0,99,B,HM.1000.010
mass,g,825,1,Lognormal,0,99,B,HM.1000.010
use.freq,1/year,0.2,1,lognormal,0,99,B,HM.1000.010
duration,minutes,30,1,Lognormal,0,99,B,HM.1000.010
use.prev,[-],0,1,point,0,12,B,HM.1000.010
use.prev,[-],0.2,1,point,13,99,M,HM.1000.010
use.prev,[-],0.2,1,point,13,99,W,HM.1000.010
f.contact,[-],0.00061,0,Point,0,99,B,HM.1000.010
house.prev,[-],0.2,1,point,0,99,B,HM.1000.010
f.residual,[-],0.02,0,point,0,99,B,HM.1400.060
volume,m^3,480,0,Point,0,99,B,HM.1400.060
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1400.060
mass,g,2000,1,Lognormal,0,99,B,HM.1400.060
use.freq,1/year,1,1,lognormal,0,99,B,HM.1400.060
duration,minutes,120,1,Lognormal,0,99,B,HM.1400.060
use.prev,[-],0,1,point,0,12,B,HM.1400.060
use.prev,[-],0.43,1,point,13,99,M,HM.1400.060
use.prev,[-],0.43,1,point,13,99,W,HM.1400.060
f.contact,[-],0.0018,0,Point,0,99,B,HM.1400.060
house.prev,[-],0.43,1,point,0,99,B,HM.1400.060
volume,m^3,24,0,Point,0,99,B,HM.1400.060
mass,g,500,1,Lognormal,0,99,B,HM.1400.060
use.freq,1/year,4,1,lognormal,0,99,B,HM.1400.060
use.prev,[-],0.2,1,point,13,99,M,HM.1400.060
use.prev,[-],0.2,1,point,13,99,W,HM.1400.060
f.contact,[-],0.001,0,Point,0,99,B,HM.1400.060
house.prev,[-],0.2,1,point,0,99,B,HM.1400.060
f.residual,[-],0.01,0,point,0,99,B,HM.1400.070
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,HM.1400.070
volume,m^3,24,0,Point,0,99,B,HM.1400.070
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.1400.070
mass,g,1400,1,Lognormal,0,99,B,HM.1400.070
use.freq,1/year,3,1,lognormal,0,99,B,HM.1400.070
duration,minutes,120,1,Lognormal,0,99,B,HM.1400.070
use.prev,[-],0,1,point,0,12,B,HM.1400.070
use.prev,[-],0.24,1,point,13,99,M,HM.1400.070
use.prev,[-],0.24,1,point,13,99,W,HM.1400.070
f.contact,[-],0.001,0,Point,0,99,B,HM.1400.070
house.prev,[-],0.24,1,point,0,99,B,HM.1400.070
f.residual,[-],0.01,0,point,0,99,B,HM.2000.040
volume,m^3,480,0,Point,0,99,B,HM.2000.040
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.2000.040
mass,g,2250,1,Lognormal,0,99,B,HM.2000.040
use.freq,1/year,2,1,lognormal,0,99,B,HM.2000.040
duration,minutes,105,1,Lognormal,0,99,B,HM.2000.040
use.prev,[-],0,1,point,0,12,B,HM.2000.040
use.prev,[-],0.09,1,point,13,99,M,HM.2000.040
use.prev,[-],0.09,1,point,13,99,W,HM.2000.040
f.contact,[-],0.00022,0,Point,0,99,B,HM.2000.040
house.prev,[-],0.09,1,point,0,99,B,HM.2000.040
f.aerosol,[-],0.55,0.47237749297333,Uniform,0,99,B,HM.2000.040
volume,m^3,24,0,Point,0,99,B,HM.2000.040
mass,g,1150,1,Lognormal,0,99,B,HM.2000.040
duration,minutes,60,1,Lognormal,0,99,B,HM.2000.040
use.prev,[-],0.23,1,point,13,99,M,HM.2000.040
use.prev,[-],0.23,1,point,13,99,W,HM.2000.040
f.contact,[-],0.01,0,Point,0,99,B,HM.2000.040
house.prev,[-],0.23,1,point,0,99,B,HM.2000.040
f.contact,[-],0.00043,0,Point,0,99,B,HM.2000.040
f.residual,[-],0.01,0,point,0,99,B,HM.2400.010
volume,m^3,480,0,Point,0,99,B,HM.2400.010
mass,g,20,1,Lognormal,0,99,B,HM.2400.010
use.freq,1/year,4,1,lognormal,0,99,B,HM.2400.010
duration,minutes,60,1,Lognormal,0,99,B,HM.2400.010
use.prev,[-],0,1,point,0,12,B,HM.2400.010
use.prev,[-],0.01,1,point,13,99,M,HM.2400.010
use.prev,[-],0.01,1,point,13,99,W,HM.2400.010
f.contact,[-],0.025,0,Point,0,99,B,HM.2400.010
house.prev,[-],0.01,1,point,0,99,B,HM.2400.010
f.residual,[-],0.01,0,point,0,99,B,HM.0100.030
volume,m^3,24,0,Point,0,99,B,HM.0100.030
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,HM.0100.030
mass,g,10,1,Lognormal,0,99,B,HM.0100.030
use.freq,1/year,52,1,lognormal,0,99,B,HM.0100.030
duration,minutes,20,1,Lognormal,0,99,B,HM.0100.030
use.prev,[-],0,1,point,0,12,B,HM.0100.030
use.prev,[-],0.3,1,point,13,99,M,HM.0100.030
use.prev,[-],0.3,1,point,13,99,W,HM.0100.030
f.contact,[-],0.05,0,Point,0,99,B,HM.0100.030
house.prev,[-],0.3,1,point,0,99,B,HM.0100.030
f.residual,[-],0.5,0,point,0,99,B,EL.0300.050
volume,m^3,24,0,Point,0,99,B,EL.0300.050
mass,g,1,1,Lognormal,0,99,B,EL.0300.050
use.freq,1/year,4,1,lognormal,0,99,B,EL.0300.050
duration,minutes,5,1,Lognormal,0,99,B,EL.0300.050
use.prev,[-],0,1,point,0,12,B,EL.0300.050
use.prev,[-],0.05,1,point,13,99,M,EL.0300.050
use.prev,[-],0.05,1,point,13,99,W,EL.0300.050
f.contact,[-],0,0,Point,0,99,B,EL.0300.050
house.prev,[-],0.05,1,point,0,99,B,EL.0300.050
f.residual,[-],0.5,0,point,0,99,B,EL.0300.060
volume,m^3,24,0,Point,0,99,B,EL.0300.060
mass,g,1,1,Lognormal,0,99,B,EL.0300.060
use.freq,1/year,4,1,lognormal,0,99,B,EL.0300.060
duration,minutes,5,1,Lognormal,0,99,B,EL.0300.060
use.prev,[-],0,1,point,0,12,B,EL.0300.060
use.prev,[-],0.05,1,point,13,99,M,EL.0300.060
use.prev,[-],0.05,1,point,13,99,W,EL.0300.060
f.contact,[-],0,0,Point,0,99,B,EL.0300.060
house.prev,[-],0.05,1,point,0,99,B,EL.0300.060
f.residual,[-],0.01,0,point,0,99,B,AC.0700.030
volume,m^3,24,0,Point,0,99,B,AC.0700.030
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,AC.0700.030
mass,g,3,1,Lognormal,0,99,B,AC.0700.030
use.freq,1/year,40,1,lognormal,0,99,B,AC.0700.030
duration,minutes,8,1,Lognormal,0,99,B,AC.0700.030
use.prev,[-],0,1,point,0,12,B,AC.0700.030
use.prev,[-],0.02,1,point,13,99,M,AC.0700.030
use.prev,[-],0.02,1,point,13,99,W,AC.0700.030
f.contact,[-],0.17,0,Point,0,99,B,AC.0700.030
house.prev,[-],0.02,1,point,0,99,B,AC.0700.030
f.residual,[-],0.5,0,point,0,99,B,CP.0100.010
volume,m^3,24,0,Point,0,99,B,CP.0100.010
mass,g,5,1,Lognormal,0,99,B,CP.0100.010
use.freq,1/year,6,1,lognormal,0,99,B,CP.0100.010
duration,minutes,5,1,Lognormal,0,99,B,CP.0100.010
use.prev,[-],0,1,point,0,12,B,CP.0100.010
use.prev,[-],0.15,1,point,13,99,M,CP.0100.010
use.prev,[-],0.15,1,point,13,99,W,CP.0100.010
f.contact,[-],0.01,0,Point,0,99,B,CP.0100.010
house.prev,[-],0.15,1,point,0,99,B,CP.0100.010
f.residual,[-],0.01,0,point,0,99,B,CP.0100.010
mass,g,1,1,Lognormal,0,99,B,CP.0100.010
use.freq,1/year,100,1,lognormal,0,99,B,CP.0100.010
duration,minutes,10,1,Lognormal,0,99,B,CP.0100.010
use.freq,1/year,52,1,lognormal,0,99,B,CP.0100.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,CP.0100.010
mass,g,15,1,Lognormal,0,99,B,CP.0100.010
use.freq,1/year,345,1,lognormal,0,99,B,CP.0100.010
use.prev,[-],0.52,1,point,13,99,M,CP.0100.010
use.prev,[-],0.52,1,point,13,99,W,CP.0100.010
house.prev,[-],0.52,1,point,0,99,B,CP.0100.010
use.prev,[-],0.73,1,point,13,99,M,CP.0100.010
use.prev,[-],0.73,1,point,13,99,W,CP.0100.010
f.contact,[-],0.033,0,Point,0,99,B,CP.0100.010
house.prev,[-],0.73,1,point,0,99,B,CP.0100.010
f.residual,[-],0.001,0,point,0,99,B,CP.0400.020
volume,m^3,24,0,Point,0,99,B,CP.0400.020
f.drain,[-],1,0,Uniform,0,99,B,CP.0400.020
mass,g,10,1,Lognormal,0,99,B,CP.0400.020
use.freq,1/year,35,1,lognormal,0,99,B,CP.0400.020
duration,minutes,5,1,Lognormal,0,99,B,CP.0400.020
use.prev,[-],0.05,1,point,0,12,B,CP.0400.020
use.prev,[-],0.2,1,point,13,99,M,CP.0400.020
use.prev,[-],0.2,1,point,13,99,W,CP.0400.020
f.contact,[-],0.01,0,Point,0,99,B,CP.0400.020
house.prev,[-],0.2,1,point,0,99,B,CP.0400.020
f.residual,[-],0.01,0,point,0,99,B,CP.0400.030
volume,m^3,24,0,Point,0,99,B,CP.0400.030
f.drain,[-],1,0,Uniform,0,99,B,CP.0400.030
mass,g,100,1,Lognormal,0,99,B,CP.0400.030
use.freq,1/year,365,1,lognormal,0,99,B,CP.0400.030
duration,minutes,5,1,Lognormal,0,99,B,CP.0400.030
use.prev,[-],0.05,1,point,0,12,B,CP.0400.030
use.prev,[-],0.7,1,point,13,99,M,CP.0400.030
use.prev,[-],0.7,1,point,13,99,W,CP.0400.030
f.contact,[-],0.01,0,Point,0,99,B,CP.0400.030
house.prev,[-],0.7,1,point,0,99,B,CP.0400.030
mass,g,200,1,Lognormal,0,99,B,CP.0400.030
mass,g,150,1,Lognormal,0,99,B,CP.0400.030
f.residual,[-],0.01,0,point,0,99,B,CP.0200.010
f.aerosol,[-],0.55,0.47237749297333,Uniform,0,99,B,CP.0200.010
volume,m^3,24,0,Point,0,99,B,CP.0200.010
f.drain,[-],1,0,Uniform,0,99,B,CP.0200.010
mass,g,35,1,Lognormal,0,99,B,CP.0200.010
use.freq,1/year,52,1,lognormal,0,99,B,CP.0200.010
duration,minutes,25,1,Lognormal,0,99,B,CP.0200.010
use.prev,[-],0,1,point,0,12,B,CP.0200.010
use.prev,[-],0.68,1,point,13,99,M,CP.0200.010
use.prev,[-],0.8,1,point,13,99,W,CP.0200.010
f.contact,[-],0.01,0,Point,0,99,B,CP.0200.010
house.prev,[-],0.8,1,point,0,99,B,CP.0200.010
mass,g,50,1,Lognormal,0,99,B,CP.0200.010
use.freq,1/year,130,1,lognormal,0,99,B,CP.0200.010
duration,minutes,16,1,Lognormal,0,99,B,CP.0200.010
f.residual,[-],0.01,0,point,0,99,B,CP.0700.010
volume,m^3,24,0,Point,0,99,B,CP.0700.010
f.drain,[-],1,0,Uniform,0,99,B,CP.0700.010
mass,g,50,1,Lognormal,0,99,B,CP.0700.010
use.freq,1/year,52,1,lognormal,0,99,B,CP.0700.010
duration,minutes,30,1,Lognormal,0,99,B,CP.0700.010
use.prev,[-],0,1,point,0,12,B,CP.0700.010
use.prev,[-],0.8,1,point,13,99,M,CP.0700.010
use.prev,[-],0.8,1,point,13,99,W,CP.0700.010
f.contact,[-],0.01,0,Point,0,99,B,CP.0700.010
house.prev,[-],0.8,1,point,0,99,B,CP.0700.010
f.residual,[-],0.01,0,point,0,99,B,CP.0300.010
f.aerosol,[-],0.55,0.47237749297333,Uniform,0,99,B,CP.0300.010
volume,m^3,24,0,Point,0,99,B,CP.0300.010
f.drain,[-],1,0,Uniform,0,99,B,CP.0300.010
mass,g,4,1,Lognormal,0,99,B,CP.0300.010
use.freq,1/year,12,1,lognormal,0,99,B,CP.0300.010
duration,minutes,10,1,Lognormal,0,99,B,CP.0300.010
use.prev,[-],0,1,point,0,12,B,CP.0300.010
use.prev,[-],0.49,1,point,13,99,M,CP.0300.010
use.prev,[-],0.52,1,point,13,99,W,CP.0300.010
f.contact,[-],0.01,0,Point,0,99,B,CP.0300.010
house.prev,[-],0.52,1,point,0,99,B,CP.0300.010
mass,g,500,1,Lognormal,0,99,B,CP.0300.010
duration,minutes,110,1,Lognormal,0,99,B,CP.0300.010
f.residual,[-],0.01,0,point,0,99,B,CP.0300.020
volume,m^3,24,0,Point,0,99,B,CP.0300.020
f.drain,[-],0.15,0.577350269189626,Uniform,0,99,B,CP.0300.020
mass,g,500,1,Lognormal,0,99,B,CP.0300.020
use.freq,1/year,12,1,lognormal,0,99,B,CP.0300.020
duration,minutes,22,1,Lognormal,0,99,B,CP.0300.020
use.prev,[-],0,1,point,0,12,B,CP.0300.020
use.prev,[-],0.2,1,point,13,99,M,CP.0300.020
use.prev,[-],0.2,1,point,13,99,W,CP.0300.020
f.contact,[-],0.01,0,Point,0,99,B,CP.0300.020
house.prev,[-],0.2,1,point,0,99,B,CP.0300.020
f.residual,[-],0.01,0,point,0,99,B,CP.0400.040
volume,m^3,24,0,Point,0,99,B,CP.0400.040
f.drain,[-],1,0,Uniform,0,99,B,CP.0400.040
mass,g,16,1,Lognormal,0,99,B,CP.0400.040
use.freq,1/year,680,1,lognormal,0,99,B,CP.0400.040
duration,minutes,15,1,Lognormal,0,99,B,CP.0400.040
use.prev,[-],0.3,1,point,0,12,B,CP.0400.040
use.prev,[-],0.9,1,point,13,99,M,CP.0400.040
use.prev,[-],0.9,1,point,13,99,W,CP.0400.040
f.contact,[-],0.01,0,Point,0,99,B,CP.0400.040
house.prev,[-],0.9,1,point,0,99,B,CP.0400.040
f.residual,[-],0.01,0,point,0,99,B,CP.0700.020
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,CP.0700.020
volume,m^3,24,0,Point,0,99,B,CP.0700.020
f.drain,[-],1,0,Uniform,0,99,B,CP.0700.020
mass,g,23,1,Lognormal,0,99,B,CP.0700.020
use.freq,1/year,365,1,lognormal,0,99,B,CP.0700.020
duration,minutes,3,1,Lognormal,0,99,B,CP.0700.020
use.prev,[-],0.2,1,point,0,12,B,CP.0700.020
use.prev,[-],0.55,1,point,13,99,M,CP.0700.020
use.prev,[-],0.55,1,point,13,99,W,CP.0700.020
f.contact,[-],0.01,0,Point,0,99,B,CP.0700.020
house.prev,[-],0.55,1,point,0,99,B,CP.0700.020
f.residual,[-],0.01,0,point,0,99,B,CP.0500.010
volume,m^3,24,0,Point,0,99,B,CP.0500.010
f.drain,[-],1,0,Uniform,0,99,B,CP.0500.010
mass,g,500,1,Lognormal,0,99,B,CP.0500.010
use.freq,1/year,4,1,lognormal,0,99,B,CP.0500.010
duration,minutes,20,1,Lognormal,0,99,B,CP.0500.010
use.prev,[-],0,1,point,0,12,B,CP.0500.010
use.prev,[-],0.3,1,point,13,99,M,CP.0500.010
use.prev,[-],0.3,1,point,13,99,W,CP.0500.010
f.contact,[-],0.001,0,Point,0,99,B,CP.0500.010
house.prev,[-],0.3,1,point,0,99,B,CP.0500.010
f.residual,[-],0.5,0,point,0,99,B,CP.1200.010
volume,m^3,24,0,Point,0,99,B,CP.1200.010
f.drain,[-],1,0,Uniform,0,99,B,CP.1200.010
mass,g,3,1,Lognormal,0,99,B,CP.1200.010
use.freq,1/year,12,1,lognormal,0,99,B,CP.1200.010
duration,minutes,10,1,Lognormal,0,99,B,CP.1200.010
use.prev,[-],0,1,point,0,12,B,CP.1200.010
use.prev,[-],0.01,1,point,13,99,M,CP.1200.010
use.prev,[-],0.01,1,point,13,99,W,CP.1200.010
f.contact,[-],0.01,0,Point,0,99,B,CP.1200.010
house.prev,[-],0.01,1,point,0,99,B,CP.1200.010
f.residual,[-],0.01,0,point,0,99,B,CP.1200.020
volume,m^3,24,0,Point,0,99,B,CP.1200.020
mass,g,10,1,Lognormal,0,99,B,CP.1200.020
use.freq,1/year,365,1,lognormal,0,99,B,CP.1200.020
duration,minutes,5,1,Lognormal,0,99,B,CP.1200.020
use.prev,[-],0.02,1,point,0,12,B,CP.1200.020
use.prev,[-],0.2,1,point,13,99,M,CP.1200.020
use.prev,[-],0.4,1,point,13,99,W,CP.1200.020
f.contact,[-],0.01,0,Point,0,99,B,CP.1200.020
house.prev,[-],0.4,1,point,0,99,B,CP.1200.020
f.residual,[-],0.01,0,point,0,99,B,EL.0400.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,EL.0400.010
volume,m^3,24,0,Point,0,99,B,EL.0400.010
f.drain,[-],1,0,Uniform,0,99,B,EL.0400.010
